"","ensembl_gene_id","entrez.human","entrezgene","gene","cardiomyopathy_score","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj","MSeqDR"
"1","ENSMUSG00000000001",2773,14679,"Gnai3",NA,9.23722219312899e-06,1.34448896366334e-05,5.0295547496246e-06,0.374086726299377,-1.41855531916651,1.36594339973533e-07,5.69571156653171e-06,NA
"2","ENSMUSG00000000028",8318,12544,"Cdc45",NA,8.83366316069528e-07,1.04398008004694e-06,7.22752552092118e-07,0.692304926028496,-0.530520481339699,0.597977843494912,0.721457729568175,NA
"3","ENSMUSG00000000031",NA,NA,"H19",NA,4.80553511986539e-05,4.44660410864068e-05,5.16446613109009e-05,1.16144050716241,0.21591525641106,0.372821726064094,0.516944039243078,NA
"4","ENSMUSG00000000056",26502,67608,"Narf",NA,5.55800307001106e-05,6.55147997241674e-05,4.56452616760537e-05,0.696716800909579,-0.521355741446672,0.0625222323205939,0.144470380840577,NA
"5","ENSMUSG00000000058",858,12390,"Cav2",NA,1.21689831112723e-05,1.3861247070994e-05,1.04767191515506e-05,0.755828036098871,-0.403870061086217,0.135980877638963,0.250755747529224,NA
"6","ENSMUSG00000000078",1316,23849,"Klf6",NA,2.07031461709913e-05,2.55930894176255e-05,1.58132029243572e-05,0.617870029925614,-0.694624698346118,0.0307008568147587,0.0862829195667087,NA
"7","ENSMUSG00000000085",22955,29871,"Scmh1",NA,7.03382706185416e-06,7.82569926028977e-06,6.24195486341854e-06,0.797622634834988,-0.326221743951603,0.31784624342554,0.462425210613937,NA
"8","ENSMUSG00000000088",9377,12858,"Cox5a",NA,3.37638361984203e-05,3.63153065747319e-05,3.12123658221087e-05,0.859482371651689,-0.218460045168318,0.605346108247692,0.727708060806014,"<a href=""https://mseqdr.org/MITO_backend/genes/COX5A"">COX5A</a>"
"9","ENSMUSG00000000093",6909,21385,"Tbx2",NA,7.08929873535773e-07,5.46620515379155e-07,8.71239231692391e-07,1.593864860868,0.672529312627902,0.209580527169663,0.341964391934804,NA
"10","ENSMUSG00000000094",9496,21387,"Tbx4",NA,8.46328142440345e-07,1.08321916641159e-06,6.09437118469101e-07,0.562616631395104,-0.82977589439153,0.124640773849544,0.235995131443974,NA
"11","ENSMUSG00000000120",4804,18053,"Ngfr",NA,3.38232913405478e-07,1.9832980908199e-07,4.78136017728966e-07,2.41081267582577,1.26951955547946,0.0466039958412578,0.117225807405938,NA
"12","ENSMUSG00000000126",7483,216795,"Wnt9a",NA,4.86404592370812e-06,6.45250813845907e-06,3.27558370895717e-06,0.507645033321789,-0.978108038182317,0.00126442283487195,0.00846573312497069,NA
"13","ENSMUSG00000000127",2241,14158,"Fer",NA,6.01121918647412e-06,6.23267747449468e-06,5.78976089845355e-06,0.928936387635389,-0.106348288790897,0.875684410701593,0.932856615112346,NA
"14","ENSMUSG00000000131",23214,74204,"Xpo6",NA,7.1755147118185e-06,9.58838691543936e-06,4.76264250819764e-06,0.496709462206699,-1.00952586482521,0.000331474711014742,0.00307054675342516,NA
"15","ENSMUSG00000000134",7030,209446,"Tfe3",NA,5.10502080565243e-06,6.58500157588334e-06,3.62504003542152e-06,0.55049949398611,-0.861186857208644,0.0183262352570757,0.0600185229855807,NA
"16","ENSMUSG00000000142",8313,12006,"Axin2",NA,2.80185282886617e-06,2.82214085326718e-06,2.78156480446516e-06,0.985622245340786,-0.0208932770843959,0.762933616095274,0.85128431845471,NA
"17","ENSMUSG00000000148",221927,231841,"Brat1",NA,3.66494274756487e-06,3.27148101253038e-06,4.05840448259936e-06,1.24054043629014,0.310968761658784,0.261439552296127,0.40171547438472,NA
"18","ENSMUSG00000000149",2768,14673,"Gna12",NA,1.40525605784115e-05,1.73714048650584e-05,1.07337162917646e-05,0.617895695549353,-0.694564771666925,0.0390555780501578,0.10290142940452,NA
"19","ENSMUSG00000000168",1737,235339,"Dlat",NA,5.65911786041639e-05,5.42616502537065e-05,5.89207069546212e-05,1.08586279037093,0.118841815704447,0.462170552635997,0.602969492730923,"<a href=""https://mseqdr.org/MITO_backend/genes/DLAT"">DLAT</a>"
